id,brand,item_name,category,description,serving_amount,serving_unit,serving_label,calories,fat_g,carbs_g,protein_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,potassium_mg,source_type,source_date,source_detail,source_url,region,is_manual_override
27210,Sonic,"Chili Cheese Tots, Large",Fried Potatoes,"Chili Cheese Tots, Large, Snacks & Sides",,,Large,960,57,92,19,9,3,2690,50,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
27211,Sonic,"Chili Cheese Tots, Medium",Fried Potatoes,"Chili Cheese Tots, Medium, Snacks & Sides",,,Medium,530,32,47,12,5,2,1540,35,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
22986,Sonic,"Chili Cheese Tots, Small",Fried Potatoes,"Chili Cheese Tots, Small, Snacks & Sides",,,Small,350,21,32,7,3,1,1000,20,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949541,Sonic,Chocolate Add-in Large,Toppings & Ingredients,"Chocolate Add-in Large, Drink Add Ins & Toppings",,,Large,240,0,57,0,0,46,85,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949540,Sonic,Chocolate Add-in Medium,Toppings & Ingredients,"Chocolate Add-in Medium, Drink Add Ins & Toppings",,,Medium,160,0,38,0,0,31,60,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949542,Sonic,Chocolate Add-in Rt 44,Toppings & Ingredients,"Chocolate Add-in Rt 44, Drink Add Ins & Toppings",,,,320,0,76,0,0,61,115,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949539,Sonic,Chocolate Add-in Small,Toppings & Ingredients,"Chocolate Add-in Small, Drink Add Ins & Toppings",,,Small,80,0,19,0,0,15,30,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949538,Sonic,Chocolate Add-in Wacky Pack,Toppings & Ingredients,"Chocolate Add-in Wacky Pack, Drink Add Ins & Toppings",,,,80,0,19,0,0,15,30,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
33137,Sonic,"Classic Chicken Sandwich, Crispy",Sandwiches,"Classic Chicken Sandwich, Crispy, Chicken",,,,550,30,48,21,4,10,870,45,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
33136,Sonic,"Classic Chicken Sandwich, Grilled",Sandwiches,"Classic Chicken Sandwich, Grilled, Chicken",,,,470,22,39,30,3,10,1340,75,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
519,Sonic,Corn Dog,Sandwiches,"Corn Dog, Wacky Pack Kids Meals, Snacks & Sides",,,,230,13,23,6,1,5,480,15,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23005,Sonic,Country Fried Steak Sandwich,Sandwiches,"Country Fried Steak Sandwich, Sandwiches",,,,700,35,80,16,3,10,1410,45,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23006,Sonic,Country Fried Steak Toaster Sandwich,Sandwiches,"Country Fried Steak Toaster Sandwich, Toaster Sandwiches",,,,700,35,80,15,3,7,1390,45,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949581,Sonic,Country Gravy,Toppings & Ingredients,"Country Gravy, Condiments & Dipping Sauces",,,,70,2,13,1,0,4,440,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949575,Sonic,Cream Cheese Frosting,Toppings & Ingredients,"Cream Cheese Frosting, Condiments & Dipping Sauces",,,,160,10,17,0,0,19,140,5,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23092,Sonic,Crispy Bacon,Toppings & Ingredients,"Crispy Bacon, Make It Yours",,,,80,7,1,6,0,0,290,20,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23010,Sonic,CroisSonic Breakfast Sandwich w/ Bacon,Sandwiches,"CroisSonic Breakfast Sandwich w/ Bacon, Breakfast Items",,,,580,38,32,27,1,5,2010,330,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23011,Sonic,CroisSonic Breakfast Sandwich w/ Ham,Sandwiches,"CroisSonic Breakfast Sandwich w/ Ham, Breakfast Items",,,,470,27,33,24,1,6,2100,320,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23012,Sonic,CroisSonic Breakfast Sandwich w/ Sausage,Sandwiches,"CroisSonic Breakfast Sandwich w/ Sausage, Breakfast Items",,,,650,47,31,24,2,5,1790,335,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949612,Sonic,Diet Cherry Sugar-free Add-in Large,Toppings & Ingredients,"Diet Cherry Sugar-free Add-in Large, Drink Add Ins & Toppings",,,Large,25,0,4,0,0,2,35,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949611,Sonic,Diet Cherry Sugar-free Add-in Medium,Toppings & Ingredients,"Diet Cherry Sugar-free Add-in Medium, Drink Add Ins & Toppings",,,Medium,20,0,3,0,0,2,20,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
